gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1514,A Midsummer Night's Dream,OBERON,1625,3,4,Comedy,1595
1514,A Midsummer Night's Dream,PEASEBLOSSOM,5,1,2,Comedy,1595
1514,A Midsummer Night's Dream,PHILOSTRATE,184,1,1,Comedy,1595
1514,A Midsummer Night's Dream,PUCK,1381,3,4,Comedy,1595
1514,A Midsummer Night's Dream,PYRAMUS,420,2,2,Comedy,1595
1514,A Midsummer Night's Dream,QUINCE,678,2,3,Comedy,1595
1514,A Midsummer Night's Dream,SECOND FAIRY,10,1,1,Comedy,1595
1514,A Midsummer Night's Dream,SNOUT,59,2,2,Comedy,1595
1514,A Midsummer Night's Dream,SNUG,51,1,2,Comedy,1595
1514,A Midsummer Night's Dream,STARVELING,32,2,3,Comedy,1595
1514,A Midsummer Night's Dream,THESEUS,2039,2,3,Comedy,1595
1514,A Midsummer Night's Dream,THISBE,236,2,2,Comedy,1595
1514,A Midsummer Night's Dream,TITANIA,1098,3,4,Comedy,1595
